Bus,x,y
1646,-0.388640999999996,39.22587
1648,-0.556183000000012,39.013849
1650,-0.266417999999992,39.104489
1652,-0.149689000000008,38.949797
1653,-1.62872299999999,38.790486
1657,-2.76443500000001,37.032158
1658,-1.555939,37.453057
1659,-1.90612799999999,37.002553
1660,-1.143951,38.279157
1663,-0.705871999999994,38.773358
1665,-0.81024199999999,38.533127
1666,-0.799255000000007,38.373962
1667,-0.722350999999989,38.405178
8333,5.357208,45.481318
1671,-1.19888300000001,37.916034
1672,-1.075287,37.742485
1676,-0.759429999999989,37.951778
1678,-0.822601000000004,37.775057
1679,-0.538330000000004,38.598627
1680,-0.535583000000007,38.465418
1684,-0.670166000000004,38.174512
1689,-1.007996,37.601176
1691,-0.803374999999987,37.607704
1692,-8.631134,40.75766
1694,-8.56796299999998,40.489782
1695,-8.887939,40.013943
1696,-8.71078499999999,40.11799
1698,-8.502045,40.156836
1699,-8.485565,39.93396
1702,-8.99780299999999,39.370402
1703,-8.776703,39.684997
1770,-6.561584,39.422403
1707,-8.973083,39.038386
1709,-9.13925200000001,38.928434
1712,-8.677826,39.2716
1713,-9.391937,38.718733
1715,-9.287567,38.8044
1717,-9.15710399999999,38.814031
1718,-9.154358,38.733732
1723,-8.82476800000001,38.585747
1724,-8.532257,38.756225
1725,-8.783569,38.014558
1727,-8.38943499999999,40.95916
1728,-8.40866100000001,40.632714
1729,-7.977448,40.743095
1731,-7.785187,40.949825
1733,-7.83462499999999,40.459487
1735,-8.258972,40.352824
1736,-7.974701,40.332936
1741,-7.40753200000001,40.704587
1750,-8.383942,39.516755
1753,-8.19442699999999,39.482845
1756,-7.399292,39.842286
1757,-7.68905600000001,39.594049
1758,-7.488556,39.623673
1759,-7.43911699999999,39.203526
1760,-6.77581799999999,40.931153
1767,-5.85159300000001,39.964491
1769,-6.91177399999999,39.72937
7979,0.833587999999988,49.590239
1771,-6.96258499999999,38.908133
1773,-6.730499,39.047986
1774,-6.462708,38.945525
1775,-6.18804899999999,39.753657
1777,-6.04247999999999,39.62473
1778,-5.928497,39.764214
1781,-7.89230299999999,38.808681
1782,-8.046112,38.05458
1785,-7.500916,38.069717
1787,-7.73025499999999,37.397437
1789,-7.31414799999999,37.563086
1791,-6.88156099999999,38.782993
1793,-6.44760100000001,38.289937
1795,-6.84997599999999,38.237101
1797,-6.83074999999999,38.099983
1798,-6.980438,37.3647
1799,-7.02026399999999,37.234702
1800,-6.92413300000001,37.18439
1803,-6.757965,37.13514
1804,-6.45446799999999,37.026677
1805,-6.398163,36.698154
1808,-6.161957,37.262031
1809,-5.983429,37.354876
1811,-5.97518899999999,37.589207
1812,-5.91339099999998,37.31666
1815,-5.631866,37.370157
1816,-5.75408900000001,37.225955
1817,-5.76782200000001,36.843362
7818,-4.02236900000001,37.811954
2194,20.202484,41.626735
1944,28.392792,44.890904
1946,28.395538,44.655955
1950,28.631744,44.679395
1952,28.576813,44.203866
1982,23.253937,44.961883
1983,23.336334,44.81789
1985,23.498383,44.59829
1986,23.745575,44.381784
1988,23.904877,44.34644
1992,23.646698,43.789933
1994,23.381653,43.426993
1995,24.330597,45.064792
1996,24.290771,45.021127
1998,24.393768,44.35626
2000,24.491272,44.455349
2003,24.896393,44.770137
2006,24.211121,43.257206
2007,24.87442,43.778035
2008,24.646454,43.440955
2010,23.102875,42.865899
8853,6.15921,48.401856
8184,-2.48428300000001,39.59299
2012,23.03833,42.549034
2013,23.196259,42.070704
2014,23.473663,42.828646
2015,23.238831,42.787339
2016,23.204498,42.583422
2018,23.446198,42.665271
2020,23.692017,42.781291
2021,23.653564,42.698586
2022,23.214111,42.384923
